prop,acati,g_whoregion
0,0-4,EMR
0,5-14,EMR
0.299367717718368,15-24,EMR
0.245625411519868,25-34,EMR
0.201350514380673,35-44,EMR
0.125792967148239,45-54,EMR
0.0726016419542302,55-64,EMR
0.0552617472786211,65+,EMR
0,0-4,AFR
0,5-14,AFR
0.332623020217288,15-24,AFR
0.233374184393566,25-34,AFR
0.188391918364488,35-44,AFR
0.120857376679219,45-54,AFR
0.0687922695234479,55-64,AFR
0.0559612308219907,65+,AFR
0,0-4,EUR
0,5-14,EUR
0.200461042540862,15-24,EUR
0.204608534409943,25-34,EUR
0.21665094166783,35-44,EUR
0.169555876626433,45-54,EUR
0.11476483405631,55-64,EUR
0.093958770698621,65+,EUR
0,0-4,AMR
0,5-14,AMR
0.244482757609792,15-24,AMR
0.218186959643587,25-34,AMR
0.206122159818474,35-44,AMR
0.154603151166865,45-54,AMR
0.0992158359182284,55-64,AMR
0.0773891358430541,65+,AMR
0,0-4,SEA
0,5-14,SEA
0.276904625712595,15-24,SEA
0.235207153586832,25-34,SEA
0.203676998258732,35-44,SEA
0.140925605629556,45-54,SEA
0.0832891096656518,55-64,SEA
0.0599965071466341,65+,SEA
0,0-4,WPR
0,5-14,WPR
0.19885564223476,15-24,WPR
0.222254447534178,25-34,WPR
0.20776435804662,35-44,WPR
0.18517085911311,45-54,WPR
0.107945237759789,55-64,WPR
0.0780094553115432,65+,WPR
